UPE 80,1010,80,50,1072000,254100,31230,14280
UPE 100,1250,100,55,2069000,382100,48010,19340
UPE 120,1540,120,60,3635000,554000,70330,25280
UPE 140,1840,140,65,5995000,787000,98840,33220
UPE 160,2170,160,70,9111000,1068000,131600,41490
UPE 180,2510,180,75,13530000,1437000,173000,52300
UPE 200,2900,200,80,19090000,1873000,220100,63280
UPE 220,3390,220,85,26820000,2464000,281500,78250
UPE 240,3850,240,90,35990000,3109000,346900,92180
UPE 270,4480,270,95,52550000,4010000,451100,111600
UPE 300,5660,300,100,78230000,5377000,613400,136600
UPE 330,6780,330,105,110100000,6815000,791900,156200
UPE 360,7790,360,110,148300000,8437000,982300,177800
UPE 400,9190,400,115,209800000,10450000,1263000,191400