U 40x20,366,40,20,76200,11500,4910,1650
U 50x25,492,50,25,169000,25000,8520,2840
U 60x30,646,60,30,317000,45300,13300,4190
U 65x42,903,65,42,577000,141000,21700,9380
UPN 80,1100,80,45,1060000,194000,31800,12100
UPN 100,1350,100,50,2060000,293000,49000,16200
UPN 120,1700,120,55,3640000,432000,72600,21200
UPN 140,2040,140,60,6050000,627000,103000,28300
UPN 160,2400,160,65,9250000,853000,138000,35200
UPN 180,2800,180,70,13500000,1140000,179000,42900
UPN 200,3220,200,75,19100000,1480000,228000,51800
UPN 220,3740,220,80,26900000,1970000,292000,64100
UPN 240,4230,240,85,36000000,2480000,358000,75700
UPN 260,4830,260,90,48200000,3170000,442000,91600
UPN 280,5330,280,95,62800000,3990000,532000,109000
UPN 300,5880,300,100,80300000,4950000,632000,130000
UPN 320,7580,320,100,109000000,5970000,826000,152000
UPN 350,7730,350,100,128000000,5700000,918000,143000
UPN 380,8040,380,102,158000000,6150000,1010000,148000
UPN 400,9150,400,110,204000000,8460000,1240000,190000