HE 100 A,96,100,8,5
HE 100 AA,91,100,5.5,4.2
HE 100 B,100,100,10,6
HE 100 M,120,106,20,12
HE 120 A,114,120,8,5
HE 120 AA,109,120,5.5,4.2
HE 120 B,120,120,11,6.5
HE 120 M,140,126,21,12.5
HE 140 A,133,140,8.5,5.5
HE 140 AA,128,140,6,4.3
HE 140 B,140,140,12,7
HE 140 M,160,146,22,13
HE 160 A,152,160,9,6
HE 160 AA,148,160,7,4.5
HE 160 B,160,160,13,8
HE 160 M,180,166,23,14
HE 180 A,171,180,9.5,6
HE 180 AA,167,180,7.5,5
HE 180 B,180,180,14,8.5
HE 180 M,200,186,24,14.5
HE 200 A,190,200,10,6.5
HE 200 AA,186,200,8,5.5
HE 200 B,200,200,15,9
HE 200 M,220,206,25,15
HE 220 A,210,220,11,7
HE 220 AA,205,220,8.5,6
HE 220 B,220,220,16,9.5
HE 220 M,240,226,26,15.5
HE 240 A,230,240,12,7.5
HE 240 AA,224,240,9,6.5
HE 240 B,240,240,17,10
HE 240 M,270,248,32,18
HE 260 A,250,260,12.5,7.5
HE 260 AA,244,260,9.5,6.5
HE 260 B,260,260,17.5,10
HE 260 M,290,268,32.5,18
HE 280 A,270,280,13,8
HE 280 AA,264,280,10,7
HE 280 B,280,280,18,10.5
HE 280 M,310,288,33,18.5
HE 300 A,290,300,14,8.5
HE 300 AA,283,300,10.5,7.5
HE 300 B,300,300,19,11
HE 300 M,340,310,39,21
HE 320 A,310,300,15.5,9
HE 320 AA,301,300,11,8
HE 320 B,320,300,20.5,11.5
HE 320 M,359,309,40,21
HE 340 A,330,300,16.5,9.5
HE 340 AA,320,300,11.5,8.5
HE 340 B,340,300,21.5,12
HE 340 M,377,309,40,21
HE 360 A,350,300,17.5,10
HE 360 AA,339,300,12,9
HE 360 B,360,300,22.5,12.5
HE 360 M,395,308,40,21
HE 400 A,390,300,19,11
HE 400 AA,378,300,13,9.5
HE 400 B,400,300,24,13.5
HE 400 M,432,307,40,21
HE 450 A,440,300,21,11.5
HE 450 AA,425,300,13.5,10
HE 450 B,450,300,26,14
HE 450 M,478,307,40,21
HE 500 A,490,300,23,12
HE 500 AA,472,300,14,10.5
HE 500 B,500,300,28,14.5
HE 500 M,524,306,40,21
HE 550 A,540,300,24,12.5
HE 550 AA,522,300,15,11.5
HE 550 B,550,300,29,15
HE 550 M,572,206,40,21
HE 600 A,590,300,25,13
HE 600 AA,571,300,15.5,12
HE 600 B,600,300,30,15.5
HE 600 M,620,305,40,21
HE 600x337,632,310,46,25.5
HE 600x340,632,308,46,26.5
HE 600x399,648,315,54,30
HE 600x402,648,313,54,31
HE 650 A,640,300,26,13.5
HE 650 AA,620,300,16,12.5
HE 650 B,650,300,31,16
HE 650 M,668,305,40,21
HE 650x343,680,309,46,25
HE 650x347,680,307,46,26
HE 650x407,696,314,54,29.5
HE 650x410,696,312,54,30.5
HE 700 A,690,300,27,14.5
HE 700 AA,670,300,17,13
HE 700 B,700,300,32,17
HE 700 M,716,304,40,21
HE 700x352,728,308,46,25
HE 700x356,728,206,46,26
HE 700x418,744,313,54,29.5
HE 700x421,744,311,54,30.5
HE 800 A,790,300,28,15
HE 800 AA,770,300,18,14
HE 800 B,800,300,33,17.5
HE 800 M,814,303,40,21
HE 800x373,826,308,46,25
HE 800x377,826,306,46,26
HE 800x444,842,313,54,30
HE 800x448,842,311,54,31
HE 900 A,890,300,30,16
HE 900 AA,870,300,20,15
HE 900 B,900,300,35,18.5
HE 900 M,910,302,40,21
HE 900x391,922,307,46,25
HE 900x396,922,305,46,26
HE 900x466,938,312,54,30
HE 900x471,938,310,54,31
HE 1000 A,990,300,31,16.5
HE 1000 AA,970,300,21,16
HE 1000 B,1000,300,36,19
HE 1000 M,1008,302,40,21
HE 1000x249,980,300,26,16.5
HE 1000x393,1016,303,43.9,24.4
HE 1000x415,1020,304,46,26
HE 1000x438,1026,305,49,26.9
HE 1000x494,1036,309,54,31
HE 1000x584,1056,314,64,36