HP 200x43,200,205,9,9
HP 200x53,204,207,11.3,11.3
HP 220x57,210,224.5,11,11
HP 260x75,249,265,12,12
HP 260x87,253,267,14,14
HP 305x79,299.3,306.4,11,11
HP 305x88,301.7,307.8,12.3,12.4
HP 305x95,303.7,308.7,13.3,13.3
HP 305x110,307.9,310.7,15.4,15.3
HP 305x126,312.3,312.9,17.6,17.5
HP 305x149,318.5,316,20.7,20.6
HP 305x180,326.7,319.7,24.8,24.8
HP 305x186,328.3,320.9,25.6,25.5
HP 305x223,337.9,325.7,30.4,30.3
HP 320x88,303,304,12,12
HP 320x103,307,306,14,14
HP 320x117,311,308,16,16
HP 320x147,319,312,20,20
HP 320x184,329,317,25,25
HP 360x84,340,367,10,10
HP 360x109,346.4,371,12.9,12.8
HP 360x133,352,373.8,15.7,15.6
HP 360x152,356.4,376,17.9,17.8
HP 360x174,360,396,20,20
HP 360x180,362.9,378.8,21.1,21.1
HP 400x122,348,390,14,14
HP 400x140,352,392,16,16
HP 400x158,356,394,18,18
HP 400x176,360,396,20,20
HP 400x194,364,398,22,22
HP 400x213,368,400,24,24
HP 400x231,372,402,26,26