50x30x2.6,50,30,2.6
50x30x3.2,50,30,3.2
50x30x4,50,30,4
50x30x5,50,30,5
60x40x2.6,60,40,2.6
60x40x3.2,60,40,3.2
60x40x4,60,40,4
60x40x5,60,40,5
60x40x6.3,60,40,6.3
70x40x3,70,40,3
70x40x4,70,40,4
80x40x3.2,80,40,3.2
80x40x4,80,40,4
80x40x5,80,40,5
80x40x6.3,80,40,6.3
80x40x8,80,40,8
90x50x3.2,90,50,3.2
90x50x4,90,50,4
90x50x5,90,50,5
90x50x6.3,90,50,6.3
90x50x8,90,50,8
100x50x3.2,100,50,3.2
100x50x4,100,50,4
100x50x5,100,50,5
100x50x6.3,100,50,6.3
100x50x8,100,50,8
100x60x3.2,100,60,3.2
100x60x4,100,60,4
100x60x5,100,60,5
100x60x6.3,100,60,6.3
100x60x8,100,60,8
120x60x4,120,60,4
120x60x5,120,60,5
120x60x6.3,120,60,6.3
120x60x8,120,60,8
120x60x10,120,60,10
120x80x4,120,80,4
120x80x5,120,80,5
120x80x6.3,120,80,6.3
120x80x8,120,80,8
120x80x10,120,80,10
140x80x4,140,80,4
140x80x5,140,80,5
140x80x6.3,140,80,6.3
140x80x8,140,80,8
140x80x10,140,80,10
150x100x4,150,100,4
150x100x5,150,100,5
150x100x6.3,150,100,6.3
150x100x8,150,100,8
150x100x10,150,100,10
150x100x12.5,150,100,12.5
160x80x4,160,80,4
160x80x5,160,80,5
160x80x6.3,160,80,6.3
160x80x8,160,80,8
160x80x10,160,80,10
160x80x12.5,160,80,12.5
180x100x4,180,100,4
180x100x5,180,100,5
180x100x6.3,180,100,6.3
180x100x8,180,100,8
180x100x10,180,100,10
180x100x12.5,180,100,12.5
200x100x4,200,100,4
200x100x5,200,100,5
200x100x6.3,200,100,6.3
200x100x8,200,100,8
200x100x10,200,100,10
200x100x12.5,200,100,12.5
200x100x16,200,100,16
200x120x6.3,200,120,6.3
200x120x8,200,120,8
200x120x10,200,120,10
200x120x12.5,200,120,12.5
250x150x6.3,250,150,6.3
250x150x8,250,150,8
250x150x10,250,150,10
250x150x12.5,250,150,12.5
250x150x14.2,250,150,14.2
250x150x16,250,150,16
260x180x6.3,260,180,6.3
260x180x8,260,180,8
260x180x10,260,180,10
260x180x12.5,260,180,12.5
260x180x14.2,260,180,14.2
260x180x16,260,180,16
300x200x6.3,300,200,6.3
300x200x8,300,200,8
300x200x10,300,200,10
300x200x12.5,300,200,12.5
300x200x14.2,300,200,14.2
300x200x16,300,200,16
350x250x6.3,350,250,6.3
350x250x8,350,250,8
350x250x10,350,250,10
350x250x12.5,350,250,12.5
350x250x14.2,350,250,14.2
350x250x16,350,250,16
400x200x8,400,200,8
400x200x10,400,200,10
400x200x12.5,400,200,12.5
400x200x14.2,400,200,14.2
400x200x16,400,200,16
450x250x8,450,250,8
450x250x10,450,250,10
450x250x12.5,450,250,12.5
450x250x14.2,450,250,14.2
450x250x16,450,250,16
500x300x10,500,300,10
500x300x12.5,500,300,12.5
500x300x14.2,500,300,14.2
500x300x16,500,300,16
500x300x20,500,300,20