IPN 80,757,80,42,778000,62900,22800,5000
IPN 100,1060,100,50,1710000,122000,39800,8100
IPN 120,1420,120,58,3280000,215000,63600,12400
IPN 140,1820,140,66,5730000,352000,95400,17900
IPN 160,2280,160,74,9350000,547000,136000,24900
IPN 180,2790,180,82,14500000,813000,187000,33200
IPN 200,3340,200,90,21400000,1170000,250000,43500
IPN 220,3979,220,98,30927100,1922500,326260,61810
IPN 240,4641,240,106,42909100,2612200,414860,77660
IPN 260,5369,260,113,58025800,3406900,518460,95160
IPN 280,6142,280,119,76626400,4290600,636710,114010
IPN 300,6944,300,125,98945400,5301600,768500,134390
IPN 320,7818,320,131,126288100,6518300,920680,157900
IPN 340,8719,340,137,158343400,7888700,1087810,183050
IPN 360,9753,360,143,197746900,9562600,1284920,212960
IPN 380,10757,380,149,242171600,11375000,1492280,243490
IPN 400,11837,400,155,294570800,13494900,1725800,277990
IPN 450,14768,450,170,462165600,20040100,2411800,377500
IPN 500,18021,500,185,692614900,28709400,3258520,498200
IPN 550,21313,550,200,998582900,40280400,4261310,644260
IPN 600,25496,600,215,1399525000,54117100,5501590,811310